"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"Ampicillin Trihydrate",368,369,"acid",3.46,349.41,NA,3.79e-11,7560,NA,22.38721139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANETHOLE",369,370,"neutral",NA,148.21,NA,9.399999998,111,NA,2454.708916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aniline",370,371,"",NA,93,-6,40,36000,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aniline",371,372,"base",4.6,93.13,NA,65.33333332,36000,NA,7.943282347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANILINE HYDROCHLORIDE",372,373,"base",4.67,129.59,NA,0.000105467,178000,NA,0.002454709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthraquinone",373,374,"",NA,208,286,7.4e-07,0.13,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthrarobin",374,375,"acid",7.53,226.23,NA,7.87e-08,31.13,NA,794.3282347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antimycin A",375,376,"acid",7.69,548.64,NA,4.11e-20,0.08901,NA,16218.10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARECOLINE.HCl",376,377,"base",8.16,155.2,NA,10.54666666,1e+06,NA,2.238721139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AROCLOR 1248",377,378,"neutral",NA,291.99,NA,0.065866667,0.1,NA,2187761.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"As(III)",378,379,"metal",NA,74.9216,NA,NA,NA,1e-20,NA,3971.641174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"As(V)",379,380,"metal",NA,74.9216,NA,NA,NA,1e-20,NA,3971.641174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astemizole",380,381,"base",6.68,458.58,NA,1.96e-10,0.04316,NA,2691534.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUREOMYCIN",381,382,"acid",3.3,478.89,NA,7.79e-20,630,NA,0.239883292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azocine, octahydro-",382,383,"base",10.87,113.2,NA,131.6,15140,NA,147.9108388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B,B,B-TRICHLORO-T-BUTANOL",383,384,"neutral",NA,177.46,NA,12.24,8000,NA,107.1519305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ba(II)",384,385,"metal",NA,137.33,NA,4.3e-19,NA,1e-20,NA,45.1578178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARBITURIC ACID",385,386,"acid",4.04,128.09,NA,2e-06,0.019,NA,0.033884416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Be(II)",386,387,"metal",NA,9.01218,NA,1.07e-42,NA,1e-20,NA,621494.6199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENAZOLIN",387,388,"acid",3.04,243.67,NA,1e-07,600,NA,21.87761624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENSULFURON-METHYL (PH7)",388,389,"acid",5.2,410.4,NA,2.8e-12,120,NA,151.3561248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bentonite",389,390,"base",3.84,284.18,NA,0.00364,12380,NA,19.05460718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZ(A)ACRIDINE",390,391,"base",4.7,229.28,NA,7.24e-05,0.3559,NA,30199.5172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benz(c)acridine",391,392,"base",4.7,229.28,NA,7.24e-05,0.3559,NA,30199.5172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZALACETOPHENONE",392,393,"neutral",NA,208.26,NA,0.010293333,92.93,NA,1202.264435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
