VarName,SubCompart,Species,Substance,Waarde,SB4N_name,Unit
alpha,river,Large,Graphene Oxide,0.1,NA,NA
alpha,river,Large,microplastic,0.01,NA,NA
alpha,river,Large,nAg_10nm,0.9,NA,NA
alpha,river,Large,nC60_10nm,0.01,AtefSP.w1,NA
alpha,river,Large,nTiO2_10nm,0.02,NA,NA
alpha,river,Large,nZnO,0.26,NA,NA
alpha,river,Large,TRWP,0.01,NA,NA
alpha,river,Small,Chitosan,0.1,NA,NA
alpha,river,Small,GO-Chitosan,1,NA,NA
alpha,river,Small,Graphene Oxide,0.1,NA,NA
alpha,river,Small,microplastic,0.01,NA,NA
alpha,river,Small,nAg_10nm,0.38,NA,NA
alpha,river,Small,nC60_10nm,0.01,AtefSA.w1,NA
alpha,river,Small,nTiO2_10nm,0.02,NA,NA
alpha,river,Small,nZnO,0.62,NA,NA
alpha,river,Small,TRWP,0.01,NA,NA
alpha,sea,Large,Chitosan,1,NA,NA
alpha,sea,Large,GO-Chitosan,1,NA,NA
alpha,sea,Large,Graphene Oxide,1,NA,NA
alpha,sea,Large,microplastic,0.01,NA,NA
alpha,sea,Large,nAg_10nm,1,NA,NA
alpha,sea,Large,nC60_10nm,1,AtefSP.w2,NA
alpha,sea,Large,nTiO2_10nm,1,NA,NA
alpha,sea,Large,nZnO,1,NA,NA
alpha,sea,Large,TRWP,0.01,NA,NA
alpha,sea,Small,Chitosan,1,NA,NA
alpha,sea,Small,GO-Chitosan,1,NA,NA
alpha,sea,Small,Graphene Oxide,1,NA,NA
alpha,sea,Small,microplastic,0.01,NA,NA
alpha,sea,Small,nAg_10nm,1,NA,NA
alpha,sea,Small,nC60_10nm,1,AtefSA.w2,NA
alpha,sea,Small,nTiO2_10nm,1,NA,NA
alpha,sea,Small,nZnO,1,NA,NA
alpha,sea,Small,TRWP,0.01,NA,NA
kdeag,agriculturalsoil,Large,Chitosan,0,NA,s-1
kdeag,agriculturalsoil,Large,GO-Chitosan,0,NA,s-1
kdeag,agriculturalsoil,Large,Graphene Oxide,0,NA,s-1
kdeag,agriculturalsoil,Large,microplastic,0,NA,s-1
kdeag,agriculturalsoil,Large,nAg_10nm,0,NA,s-1
kdeag,agriculturalsoil,Large,nC60_10nm,0,NA,s-1
kdeag,agriculturalsoil,Large,nTiO2_10nm,0,NA,s-1
kdeag,agriculturalsoil,Large,nZnO,0,NA,s-1
kdeag,agriculturalsoil,Large,TRWP,2.7e-8,NA,s-1
kdeag,agriculturalsoil,Small,Chitosan,0,NA,s-1
kdeag,agriculturalsoil,Small,GO-Chitosan,0,NA,s-1
kdeag,agriculturalsoil,Small,Graphene Oxide,0,NA,s-1
kdeag,agriculturalsoil,Small,microplastic,0,NA,s-1
kdeag,agriculturalsoil,Small,nAg_10nm,0,NA,s-1
kdeag,agriculturalsoil,Small,nC60_10nm,0,NA,s-1
kdeag,agriculturalsoil,Small,nTiO2_10nm,0,NA,s-1
kdeag,agriculturalsoil,Small,nZnO,0,NA,s-1
kdeag,agriculturalsoil,Small,TRWP,2.7e-8,NA,s-1
kdeag,air,Large,Chitosan,0,NA,s-1
kdeag,air,Large,GO-Chitosan,0,NA,s-1
kdeag,air,Large,Graphene Oxide,0,NA,s-1
kdeag,air,Large,microplastic,0,NA,s-1
kdeag,air,Large,nAg_10nm,0,NA,s-1
kdeag,air,Large,nC60_10nm,0,NA,s-1
kdeag,air,Large,nTiO2_10nm,0,NA,s-1
kdeag,air,Large,nZnO,0,NA,s-1
kdeag,air,Large,TRWP,0,NA,s-1
kdeag,air,Small,Chitosan,0,NA,s-1
kdeag,air,Small,GO-Chitosan,0,NA,s-1
kdeag,air,Small,Graphene Oxide,0,NA,s-1
kdeag,air,Small,microplastic,0,NA,s-1
kdeag,air,Small,nAg_10nm,0,NA,s-1
kdeag,air,Small,nC60_10nm,0,NA,s-1
kdeag,air,Small,nTiO2_10nm,0,NA,s-1
kdeag,air,Small,nZnO,0,NA,s-1
kdeag,air,Small,TRWP,0,NA,s-1
kdeag,deepocean,Large,Chitosan,0,NA,s-1
kdeag,deepocean,Large,GO-Chitosan,0,NA,s-1
kdeag,deepocean,Large,Graphene Oxide,0,NA,s-1
kdeag,deepocean,Large,microplastic,0,NA,s-1
kdeag,deepocean,Large,nAg_10nm,0,NA,s-1
kdeag,deepocean,Large,nC60_10nm,0,NA,s-1
kdeag,deepocean,Large,nTiO2_10nm,0,NA,s-1
kdeag,deepocean,Large,nZnO,0,NA,s-1
kdeag,deepocean,Large,TRWP,2.7e-8,NA,s-1
kdeag,deepocean,Small,Chitosan,0,NA,s-1
kdeag,deepocean,Small,GO-Chitosan,0,NA,s-1
kdeag,deepocean,Small,Graphene Oxide,0,NA,s-1
kdeag,deepocean,Small,microplastic,0,NA,s-1
kdeag,deepocean,Small,nAg_10nm,0,NA,s-1
kdeag,deepocean,Small,nC60_10nm,0,NA,s-1
kdeag,deepocean,Small,nTiO2_10nm,0,NA,s-1
kdeag,deepocean,Small,nZnO,0,NA,s-1
kdeag,deepocean,Small,TRWP,2.7e-8,NA,s-1
kdeag,freshwatersediment,Large,Chitosan,0,NA,s-1
kdeag,freshwatersediment,Large,GO-Chitosan,0,NA,s-1
kdeag,freshwatersediment,Large,Graphene Oxide,0,NA,s-1
kdeag,freshwatersediment,Large,microplastic,0,NA,s-1
kdeag,freshwatersediment,Large,nAg_10nm,0,NA,s-1
kdeag,freshwatersediment,Large,nC60_10nm,0,NA,s-1
kdeag,freshwatersediment,Large,nTiO2_10nm,0,NA,s-1
kdeag,freshwatersediment,Large,nZnO,0,NA,s-1
kdeag,freshwatersediment,Large,TRWP,2.7e-8,NA,s-1
kdeag,freshwatersediment,Small,Chitosan,0,NA,s-1
kdeag,freshwatersediment,Small,GO-Chitosan,0,NA,s-1
kdeag,freshwatersediment,Small,Graphene Oxide,0,NA,s-1
kdeag,freshwatersediment,Small,microplastic,0,NA,s-1
kdeag,freshwatersediment,Small,nAg_10nm,0,NA,s-1
kdeag,freshwatersediment,Small,nC60_10nm,0,NA,s-1
kdeag,freshwatersediment,Small,nTiO2_10nm,0,NA,s-1
kdeag,freshwatersediment,Small,nZnO,0,NA,s-1
kdeag,freshwatersediment,Small,TRWP,2.7e-8,NA,s-1
kdeag,lake,Large,Chitosan,0,NA,s-1
kdeag,lake,Large,GO-Chitosan,0,NA,s-1
kdeag,lake,Large,Graphene Oxide,0,NA,s-1
kdeag,lake,Large,microplastic,0,NA,s-1
kdeag,lake,Large,nAg_10nm,0,NA,s-1
kdeag,lake,Large,nC60_10nm,0,NA,s-1
kdeag,lake,Large,nTiO2_10nm,0,NA,s-1
kdeag,lake,Large,nZnO,0,NA,s-1
kdeag,lake,Large,TRWP,2.7e-8,NA,s-1
kdeag,lake,Small,Chitosan,0,NA,s-1
kdeag,lake,Small,GO-Chitosan,0,NA,s-1
kdeag,lake,Small,Graphene Oxide,0,NA,s-1
kdeag,lake,Small,microplastic,0,NA,s-1
kdeag,lake,Small,nAg_10nm,0,NA,s-1
kdeag,lake,Small,nC60_10nm,0,NA,s-1
kdeag,lake,Small,nTiO2_10nm,0,NA,s-1
kdeag,lake,Small,nZnO,0,NA,s-1
kdeag,lake,Small,TRWP,2.7e-8,NA,s-1
kdeag,lakesediment,Large,Chitosan,0,NA,s-1
kdeag,lakesediment,Large,GO-Chitosan,0,NA,s-1
kdeag,lakesediment,Large,Graphene Oxide,0,NA,s-1
kdeag,lakesediment,Large,microplastic,0,NA,s-1
kdeag,lakesediment,Large,nAg_10nm,0,NA,s-1
kdeag,lakesediment,Large,nC60_10nm,0,NA,s-1
kdeag,lakesediment,Large,nTiO2_10nm,0,NA,s-1
kdeag,lakesediment,Large,nZnO,0,NA,s-1
kdeag,lakesediment,Large,TRWP,2.7e-8,NA,s-1
kdeag,lakesediment,Small,Chitosan,0,NA,s-1
kdeag,lakesediment,Small,GO-Chitosan,0,NA,s-1
kdeag,lakesediment,Small,Graphene Oxide,0,NA,s-1
kdeag,lakesediment,Small,microplastic,0,NA,s-1
kdeag,lakesediment,Small,nAg_10nm,0,NA,s-1
kdeag,lakesediment,Small,nC60_10nm,0,NA,s-1
kdeag,lakesediment,Small,nTiO2_10nm,0,NA,s-1
kdeag,lakesediment,Small,nZnO,0,NA,s-1
kdeag,lakesediment,Small,TRWP,2.7e-8,NA,s-1
kdeag,marinesediment,Large,Chitosan,0,NA,s-1
kdeag,marinesediment,Large,GO-Chitosan,0,NA,s-1
kdeag,marinesediment,Large,Graphene Oxide,0,NA,s-1
kdeag,marinesediment,Large,microplastic,0,NA,s-1
kdeag,marinesediment,Large,nAg_10nm,0,NA,s-1
kdeag,marinesediment,Large,nC60_10nm,0,NA,s-1
kdeag,marinesediment,Large,nTiO2_10nm,0,NA,s-1
kdeag,marinesediment,Large,nZnO,0,NA,s-1
kdeag,marinesediment,Large,TRWP,2.7e-8,NA,s-1
kdeag,marinesediment,Small,Chitosan,0,NA,s-1
kdeag,marinesediment,Small,GO-Chitosan,0,NA,s-1
kdeag,marinesediment,Small,Graphene Oxide,0,NA,s-1
kdeag,marinesediment,Small,microplastic,0,NA,s-1
kdeag,marinesediment,Small,nAg_10nm,0,NA,s-1
kdeag,marinesediment,Small,nC60_10nm,0,NA,s-1
kdeag,marinesediment,Small,nTiO2_10nm,0,NA,s-1
kdeag,marinesediment,Small,nZnO,0,NA,s-1
kdeag,marinesediment,Small,TRWP,2.7e-8,NA,s-1
kdeag,naturalsoil,Large,Chitosan,0,NA,s-1
kdeag,naturalsoil,Large,GO-Chitosan,0,NA,s-1
kdeag,naturalsoil,Large,Graphene Oxide,0,NA,s-1
kdeag,naturalsoil,Large,microplastic,0,NA,s-1
kdeag,naturalsoil,Large,nAg_10nm,0,NA,s-1
kdeag,naturalsoil,Large,nC60_10nm,0,NA,s-1
kdeag,naturalsoil,Large,nTiO2_10nm,0,NA,s-1
kdeag,naturalsoil,Large,nZnO,0,NA,s-1
kdeag,naturalsoil,Large,TRWP,2.7e-8,NA,s-1
kdeag,naturalsoil,Small,Chitosan,0,NA,s-1
kdeag,naturalsoil,Small,GO-Chitosan,0,NA,s-1
kdeag,naturalsoil,Small,Graphene Oxide,0,NA,s-1
kdeag,naturalsoil,Small,microplastic,0,NA,s-1
kdeag,naturalsoil,Small,nAg_10nm,0,NA,s-1
kdeag,naturalsoil,Small,nC60_10nm,0,NA,s-1
kdeag,naturalsoil,Small,nTiO2_10nm,0,NA,s-1
kdeag,naturalsoil,Small,nZnO,0,NA,s-1
kdeag,naturalsoil,Small,TRWP,2.7e-8,NA,s-1
kdeag,othersoil,Large,Chitosan,0,NA,s-1
kdeag,othersoil,Large,GO-Chitosan,0,NA,s-1
kdeag,othersoil,Large,Graphene Oxide,0,NA,s-1
kdeag,othersoil,Large,microplastic,0,NA,s-1
kdeag,othersoil,Large,nAg_10nm,0,NA,s-1
kdeag,othersoil,Large,nC60_10nm,0,NA,s-1
kdeag,othersoil,Large,nTiO2_10nm,0,NA,s-1
kdeag,othersoil,Large,nZnO,0,NA,s-1
kdeag,othersoil,Large,TRWP,2.7e-8,NA,s-1
kdeag,othersoil,Small,Chitosan,0,NA,s-1
kdeag,othersoil,Small,GO-Chitosan,0,NA,s-1
kdeag,othersoil,Small,Graphene Oxide,0,NA,s-1
kdeag,othersoil,Small,microplastic,0,NA,s-1
kdeag,othersoil,Small,nAg_10nm,0,NA,s-1
kdeag,othersoil,Small,nC60_10nm,0,NA,s-1
kdeag,othersoil,Small,nTiO2_10nm,0,NA,s-1
kdeag,othersoil,Small,nZnO,0,NA,s-1
kdeag,othersoil,Small,TRWP,2.7e-8,NA,s-1
kdeag,river,Large,Chitosan,0,NA,s-1
kdeag,river,Large,GO-Chitosan,0,NA,s-1
kdeag,river,Large,Graphene Oxide,0,NA,s-1
kdeag,river,Large,microplastic,0,NA,s-1
kdeag,river,Large,nAg_10nm,0,NA,s-1
kdeag,river,Large,nC60_10nm,0,NA,s-1
kdeag,river,Large,nTiO2_10nm,0,NA,s-1
kdeag,river,Large,nZnO,0,NA,s-1
